level_id,poem_id,q_sign,a_sign1,a_sign2,a_sign3,a_sign4
6,6,6000,632005,380000,310003,6000
6,6,6000,6000,209005,626003,213004
6,6,6000,639003,6000,302005,135001
6,6,6000,268007,404002,110002,6000
6,6,6001,276002,281003,6001,752007
6,6,6001,746005,691002,751004,6001
6,6,6001,302005,320003,6001,367002
6,6,6001,648003,6001,270003,380000
6,6,6001,363003,620004,6001,690001
6,6,6001,289006,292006,108005,6001
6,6,6001,381003,6001,660001,134003
6,6,6001,6001,140003,762005,391002
6,6,6001,271005,108007,752004,6001
6,6,6001,771003,6001,640002,374000
6,6,6002,644002,147006,381003,6002
6,6,6002,668003,20001,6002,664000
6,6,6002,782008,140000,6002,265000
6,6,6002,6002,315003,375001,166000
6,6,6002,300000,202004,403002,6002
6,6,6002,772002,372000,361000,6002
6,6,6002,275004,6002,408001,206000
6,6,6002,642006,613000,6002,634005
6,6,6002,6002,206007,757004,175001
6,6,6002,132001,760001,304000,6002
6,6,6003,6003,767003,747007,758004
6,6,6003,271003,6003,209006,208000
6,6,6003,305004,6003,306005,644001
6,6,6003,6003,782007,131003,251005
6,6,6003,770007,6003,628001,286001
6,6,6003,309007,755005,6003,309005
6,6,6003,80001,647000,784005,6003
6,6,6003,6003,697000,252000,775003
6,6,6003,6003,758004,307002,780003
6,6,6003,667007,272004,200004,6003
7,7,7000,145001,265001,7000,745003
7,7,7000,16000,7000,315003,144005
7,7,7000,759006,303006,7000,200000
7,7,7000,7000,261007,618005,292004
7,7,7000,7000,260004,667007,137003
7,7,7000,82001,7000,222002,11002
7,7,7000,82000,7000,285000,646006
7,7,7000,7000,264001,272001,299002
7,7,7000,273002,170001,7000,399001
7,7,7000,617003,667004,7000,165000
7,7,7001,389001,208004,20003,7001
7,7,7001,7001,406003,315003,261004
7,7,7001,7001,656002,749000,658003
7,7,7001,212001,252000,7001,266004
7,7,7001,7001,747001,200000,265007
7,7,7001,631002,371003,7001,390002
7,7,7001,85004,142006,7001,636006
7,7,7001,211002,278005,758004,7001
7,7,7001,7001,648004,272000,782008
7,7,7001,770001,7001,361001,256001
7,7,7002,304000,7002,130006,262005
7,7,7002,3001,7002,645005,268003
7,7,7002,7002,771002,200000,273007
7,7,7002,134007,765002,7002,281000
7,7,7002,754007,644005,642002,7002
7,7,7002,224001,7002,646002,295007
7,7,7002,295002,7002,809008,296001
7,7,7002,7002,301001,316005,278000
7,7,7002,666005,130005,7002,648003
7,7,7002,359001,278004,7002,201000
7,7,7003,7003,644007,20001,754007
7,7,7003,634000,757000,780002,7003
7,7,7003,293000,7003,270001,294007
7,7,7003,228000,7003,23000,273007
7,7,7003,292007,131000,636002,7003
7,7,7003,170000,94002,89009,7003
7,7,7003,7003,213006,775001,159001
7,7,7003,135007,361000,2001,7003
7,7,7003,761002,131007,18000,7003
7,7,7003,318000,202002,7003,630000
8,8,8000,8000,286007,319007,94002
8,8,8000,91000,625005,8000,376000
8,8,8000,697003,8000,318009,262006
8,8,8000,784001,630006,306000,8000
8,8,8000,279005,8000,387000,759003
8,8,8000,269005,409002,614000,8000
8,8,8000,761001,778000,8000,225000
8,8,8000,21002,269000,660001,8000
8,8,8000,363000,809006,8000,173000
8,8,8000,138001,756007,748003,8000
8,8,8001,280002,84000,396000,8001
8,8,8001,287004,8001,697000,389000
8,8,8001,214004,8001,763004,175002
8,8,8001,358000,377003,8001,212001
8,8,8001,19001,8001,320000,664003
8,8,8001,372001,131006,8001,634007
8,8,8001,204007,211003,13000,8001
8,8,8001,260000,212007,8001,777002
8,8,8001,316007,8001,618001,762004
8,8,8001,266000,8001,132002,142004
8,8,8002,759000,133007,764006,8002
8,8,8002,8002,636003,210007,624000
8,8,8002,781001,132003,8002,11003
8,8,8002,131003,8002,762005,253002
8,8,8002,8002,629005,302002,273004
8,8,8002,8002,5003,624004,254007
8,8,8002,305005,753003,301002,8002
8,8,8002,179000,623001,8002,91004
8,8,8002,762003,8002,304001,783007
8,8,8002,636001,8002,258005,649005
8,8,8003,408000,8003,21001,23003
8,8,8003,630001,768000,8003,618000
8,8,8003,8003,214002,275002,280001
8,8,8003,280005,8003,146002,250005
8,8,8003,282007,16002,8003,365001
8,8,8003,258005,287000,8003,289004
8,8,8003,635005,160004,8003,281004
8,8,8003,138005,227002,770005,8003
8,8,8003,8002,8003,510005,642007
8,8,8003,628001,697002,8003,131007
9,9,9000,283002,9000,133007,170002
9,9,9000,315001,9000,624000,299000
9,9,9000,9000,139003,305000,632003
9,9,9000,268000,140003,9000,227000
9,9,9000,9000,397001,285005,660005
9,9,9000,643005,9000,283002,84005
9,9,9000,9000,283000,3001,357001
9,9,9000,204004,295000,9000,661004
9,9,9000,214003,9000,208004,11003
9,9,9000,132004,9000,210002,274002
9,9,9001,782008,9001,617005,273001
9,9,9001,140007,177003,9001,645000
9,9,9001,158004,9001,368001,89007
9,9,9001,9001,279000,633006,267002
9,9,9001,280005,9001,270002,318009
9,9,9001,766005,141002,9001,765005
9,9,9001,622005,283007,9001,111003
9,9,9001,204005,224001,9001,213005
9,9,9001,22000,753004,642006,9001
9,9,9001,613003,293006,9001,174000
9,9,9002,297004,769002,280001,9002
9,9,9002,696003,178001,9002,261001
9,9,9002,637001,311001,768004,9002
9,9,9002,656002,253001,263000,9002
9,9,9002,692003,662002,300004,9002
9,9,9002,9002,693001,357002,173001
9,9,9002,644001,268006,9002,281004
9,9,9002,388000,9002,637007,626006
9,9,9002,754000,9002,747001,748006
9,9,9002,382002,9002,395000,81002
9,9,9003,174002,629006,9003,666000
9,9,9003,295002,209002,640004,9003
9,9,9003,641005,9003,81005,165003
9,9,9003,314003,136001,9003,304001
9,9,9003,780003,9003,769000,81005
9,9,9003,9003,769007,782004,759007
9,9,9003,8003,9003,406003,779002
9,9,9003,164000,9003,759006,10000
9,9,9003,18000,142007,9003,658003
9,9,9003,139007,9003,637005,139006
10,10,10000,279005,10000,744001,772002
10,10,10000,147002,268005,778007,10000
10,10,10000,405002,746007,662005,10000
10,10,10000,10000,109002,133003,760000
10,10,10000,297005,646006,747000,10000
10,10,10000,173002,10000,223003,771004
10,10,10000,10000,356002,280002,141007
10,10,10000,204004,10000,14003,5002
10,10,10000,10000,316004,224000,666004
10,10,10000,295003,91006,10000,744001
10,10,10001,272004,136001,10001,109000
10,10,10001,10001,137002,304000,295004
10,10,10001,10001,89001,644000,309000
10,10,10001,160007,264004,10001,298006
10,10,10001,173001,618003,645004,10001
10,10,10001,269003,639004,10001,666004
10,10,10001,756005,765004,10001,626005
10,10,10001,10001,267007,7002,94000
10,10,10001,777008,621003,10001,780007
10,10,10001,10001,687000,620005,760001
10,10,10002,656007,379002,263000,10002
10,10,10002,278003,282005,10002,172001
10,10,10002,767005,10002,409001,687001
10,10,10002,256007,746005,302000,10002
10,10,10002,409002,10002,394001,288005
10,10,10002,752004,748002,268005,10002
10,10,10002,10002,265005,211006,312003
10,10,10002,10002,146002,311007,4000
10,10,10002,137007,178001,10002,269002
10,10,10002,10002,767007,688003,201005
10,10,10003,305000,255002,392001,10003
10,10,10003,10003,174003,780001,666008
10,10,10003,170002,262000,16002,10003
10,10,10003,10003,768003,401001,229003
10,10,10003,130004,769001,10003,758001
10,10,10003,284004,201002,628007,10003
10,10,10003,10003,297004,283004,295000
10,10,10003,753006,294003,10003,627006
10,10,10003,666009,179001,10003,769005
10,10,10003,642005,10003,617003,627003
11,11,11000,111001,86007,11000,141002
11,11,11000,269005,11000,96003,298005
11,11,11000,108005,84001,11000,781004
11,11,11000,255000,11000,390002,312005
11,11,11000,11000,667007,372001,662010
11,11,11000,180003,11000,376002,221002
11,11,11000,223003,11000,319003,301006
11,11,11000,11000,138003,752005,665005
11,11,11000,11000,81007,658004,211003
11,11,11000,11000,20000,658007,275002
11,11,11001,636005,86005,11001,263006
11,11,11001,309003,756005,510004,11001
11,11,11001,11001,626001,255002,269007
11,11,11001,11001,268000,634004,170001
11,11,11001,404000,250005,11001,289002
11,11,11001,11001,136004,392002,364002
11,11,11001,654001,11001,144005,768005
11,11,11001,291001,278007,11001,266002
11,11,11001,624002,11001,137006,630004
11,11,11001,638003,278005,757001,11001
11,11,11002,206005,11002,138005,266002
11,11,11002,85004,398001,173001,11002
11,11,11002,635002,16002,11002,134002
11,11,11002,649003,204003,688000,11002
11,11,11002,88003,307002,11002,289005
11,11,11002,11002,642004,256001,398001
11,11,11002,777005,158006,11002,644002
11,11,11002,284003,270003,86007,11002
11,11,11002,765004,630003,11002,305003
11,11,11002,291004,11002,282001,387003
11,11,11003,214006,11003,10003,294003
11,11,11003,620004,130007,11003,228003
11,11,11003,292001,631007,11003,320001
11,11,11003,146005,11003,311003,408003
11,11,11003,11003,782002,746004,377001
11,11,11003,11003,280007,642003,298007
11,11,11003,264006,226000,781003,11003
11,11,11003,11003,298006,108003,315004
11,11,11003,262003,11003,400003,781009
11,11,11003,382003,11003,749001,389002
12,12,12000,662000,12000,284004,280002
12,12,12000,255004,12000,318003,762002
12,12,12000,769001,287003,12000,159003
12,12,12000,223001,12000,293000,762004
12,12,12000,747002,3001,12000,208004
12,12,12000,644004,208000,12000,291004
12,12,12000,624001,782009,82003,12000
12,12,12000,12000,753007,667005,84006
12,12,12000,756007,22002,305004,12000
12,12,12000,108002,275007,12000,227003
12,12,12001,145001,142007,12001,631006
12,12,12001,12001,692003,130005,313002
12,12,12001,782008,12001,251000,135006
12,12,12001,12001,617003,389003,159000
12,12,12001,688003,12001,779004,380002
12,12,12001,12001,132000,160001,782008
12,12,12001,12001,286007,628006,137007
12,12,12001,276000,10003,764002,12001
12,12,12001,375001,744004,757002,12001
12,12,12001,12001,308006,80000,202005
12,12,12002,223002,12002,373000,691000
12,12,12002,621004,278001,12002,110001
12,12,12002,666006,147011,12002,179001
12,12,12002,12002,367000,657002,86000
12,12,12002,668008,311004,614000,12002
12,12,12002,12002,756007,303002,612004
12,12,12002,2002,12002,173003,361000
12,12,12002,642007,271005,289005,12002
12,12,12002,780005,363001,295002,12002
12,12,12002,12002,159006,408001,272004
12,12,12003,12003,165003,694000,780009
12,12,12003,394002,12003,206004,202004
12,12,12003,293007,3001,12003,129002
12,12,12003,390001,382001,12003,641007
12,12,12003,12003,752003,375001,756001
12,12,12003,12003,288003,622004,275000
12,12,12003,358003,628006,629005,12003
12,12,12003,309007,311000,656002,12003
12,12,12003,12003,380000,263003,629007
12,12,12003,12003,202003,147005,110002
13,13,13000,12000,289004,13000,84007
13,13,13000,13000,638007,809000,659001
13,13,13000,640007,269004,649005,13000
13,13,13000,298006,13000,654008,759002
13,13,13000,750003,171003,770000,13000
13,13,13000,265000,13000,687000,6002
13,13,13000,13000,130006,780003,378000
13,13,13000,13000,177003,622004,311006
13,13,13000,766006,13000,372002,629005
13,13,13000,13000,761005,647003,253001
13,13,13001,13001,18002,282002,87005
13,13,13001,202000,782004,252002,13001
13,13,13001,749006,226000,383000,13001
13,13,13001,394001,667004,139005,13001
13,13,13001,613000,13001,82005,206005
13,13,13001,769000,269002,751002,13001
13,13,13001,389000,637001,13001,623006
13,13,13001,275007,315001,13001,111002
13,13,13001,380001,84003,313007,13001
13,13,13001,292004,759003,17002,13001
13,13,13002,13002,384003,640001,782003
13,13,13002,302001,13002,638001,372001
13,13,13002,137004,13002,269007,769001
13,13,13002,648001,205007,13002,134000
13,13,13002,291007,622001,13002,288003
13,13,13002,634006,753007,13002,375003
13,13,13002,206005,257007,13002,383001
13,13,13002,755007,163002,139006,13002
13,13,13002,90004,174003,13002,303006
13,13,13002,7002,13002,172001,633006
13,13,13003,291000,171001,13003,380001
13,13,13003,11001,13003,200002,662001
13,13,13003,748002,768005,13003,695003
13,13,13003,13003,401002,366000,140002
13,13,13003,147001,13003,391000,133003
13,13,13003,132007,213001,13003,164003
13,13,13003,12002,13003,132003,172002
13,13,13003,13003,271000,166001,288002
13,13,13003,305001,13003,649008,747002
13,13,13003,206006,13003,375001,136005
14,14,14000,85006,306007,665005,14000
14,14,14000,14000,297000,86001,264007
14,14,14000,758003,159007,613002,14000
14,14,14000,14000,689001,412003,179003
14,14,14000,320002,14000,180002,779000
14,14,14000,619005,14000,624003,624005
14,14,14000,359001,141004,295003,14000
14,14,14000,14000,228003,782001,647006
14,14,14000,205002,644006,14000,662000
14,14,14000,271002,14000,417001,636002
14,14,14001,14001,362001,619004,784000
14,14,14001,14001,372003,81005,281006
14,14,14001,782002,14001,358000,10001
14,14,14001,14001,12002,368002,767003
14,14,14001,647007,387003,14001,309007
14,14,14001,140001,14001,205000,90001
14,14,14001,14001,666000,283003,320003
14,14,14001,610002,14001,265006,633006
14,14,14001,14001,272007,172002,357000
14,14,14001,634001,379002,14001,266002
14,14,14002,315006,629005,14002,108004
14,14,14002,14002,397000,265005,174001
14,14,14002,282007,391002,303000,14002
14,14,14002,260000,266006,14002,771002
14,14,14002,380001,276006,14002,628007
14,14,14002,14002,285002,630006,749001
14,14,14002,764005,277004,295006,14002
14,14,14002,94002,764006,270001,14002
14,14,14002,14002,175001,314005,617005
14,14,14002,13003,14002,265004,90001
14,14,14003,370001,14003,131005,318000
14,14,14003,14003,645006,759005,267003
14,14,14003,697003,614000,14003,140007
14,14,14003,14003,393001,318008,303006
14,14,14003,761007,177001,14003,781009
14,14,14003,309003,400002,253005,14003
14,14,14003,14003,377002,89008,659006
14,14,14003,14003,634002,275005,412003
14,14,14003,6000,298005,14003,170001
14,14,14003,648006,768002,14003,254006
15,15,15000,253004,767005,277004,15000
15,15,15000,132006,314003,642005,15000
15,15,15000,648005,6000,284006,15000
15,15,15000,265000,25004,167002,15000
15,15,15000,762003,147003,775008,15000
15,15,15000,15000,158004,620002,203003
15,15,15000,89006,142001,15000,295002
15,15,15000,647004,261007,15000,766004
15,15,15000,200002,287001,228002,15000
15,15,15000,170001,390003,15000,227003
15,15,15001,224003,142000,15001,254001
15,15,15001,91009,312002,15001,207000
15,15,15001,643001,15001,757007,634005
15,15,15001,762004,763005,306002,15001
15,15,15001,307004,15001,391001,286007
15,15,15001,768006,15001,399001,612004
15,15,15001,315004,760001,15001,312000
15,15,15001,305004,200001,272003,15001
15,15,15001,167000,281001,617003,15001
15,15,15001,660005,270006,214006,15001
15,15,15002,22001,132006,81006,15002
15,15,15002,395002,132006,222003,15002
15,15,15002,280000,268006,15002,290002
15,15,15002,265006,15002,108005,165003
15,15,15002,295003,15002,283005,223000
15,15,15002,164001,391000,15002,772001
15,15,15002,15002,748000,750004,297003
15,15,15002,175002,203005,145007,15002
15,15,15002,145005,294001,15002,166000
15,15,15002,299001,15002,273004,746002
15,15,15003,689002,81005,15003,226001
15,15,15003,637007,15003,371003,297007
15,15,15003,2002,383003,310002,15003
15,15,15003,277007,15003,311007,171001
15,15,15003,111003,314007,621004,15003
15,15,15003,692000,638001,15003,294001
15,15,15003,692003,662003,158004,15003
15,15,15003,270001,662001,320003,15003
15,15,15003,279003,297005,15003,278001
15,15,15003,180003,15003,311002,746006
16,16,16000,773002,758007,771006,16000
16,16,16000,305007,666007,16000,365000
16,16,16000,16000,291005,86003,178002
16,16,16000,7001,109001,16000,761001
16,16,16000,205003,16000,629004,645007
16,16,16000,265002,214006,16000,291001
16,16,16000,18002,780009,16000,213002
16,16,16000,758001,17002,626005,16000
16,16,16000,87004,16000,661005,18003
16,16,16000,319008,687001,16000,207006
16,16,16001,624003,280000,775001,16001
16,16,16001,16001,360003,210000,657002
16,16,16001,629002,16001,89006,748001
16,16,16001,776003,658006,16001,644005
16,16,16001,209005,284001,16001,22003
16,16,16001,165000,661004,16001,283004
16,16,16001,626004,760007,761000,16001
16,16,16001,133005,16001,110001,3001
16,16,16001,822000,16001,132000,764003
16,16,16001,626004,16001,202002,622002
16,16,16002,783008,16002,208001,259002
16,16,16002,141002,412000,16002,409001
16,16,16002,309007,16002,256005,315007
16,16,16002,776007,16002,130002,254000
16,16,16002,250002,362000,16002,7002
16,16,16002,760000,175001,394002,16002
16,16,16002,210003,16002,764005,392002
16,16,16002,85003,16002,15002,384001
16,16,16002,16002,763002,758001,692000
16,16,16002,638003,761006,654001,16002
16,16,16003,16003,386001,391002,753000
16,16,16003,16003,254006,634001,398000
16,16,16003,626000,761003,16003,267002
16,16,16003,356003,285000,696001,16003
16,16,16003,691000,257002,16003,622006
16,16,16003,16003,205005,293000,307005
16,16,16003,131000,624003,110000,16003
16,16,16003,644002,16003,407002,13002
16,16,16003,18002,140007,16003,88007
16,16,16003,131001,16003,365003,284003
17,17,17000,396002,397003,393003,17000
17,17,17000,17000,82006,263002,253001
17,17,17000,17000,210005,372001,307001
17,17,17000,295007,17000,632001,666003
17,17,17000,17000,303006,768007,210000
17,17,17000,395001,630003,85005,17000
17,17,17000,277005,380003,363000,17000
17,17,17000,313001,210000,618001,17000
17,17,17000,388000,657005,630004,17000
17,17,17000,17000,747000,754004,203002
17,17,17001,302002,17001,761005,214003
17,17,17001,315006,396002,17001,267000
17,17,17001,142003,636006,254001,17001
17,17,17001,617000,17001,620006,631003
17,17,17001,364000,17001,395000,221003
17,17,17001,83002,697003,17001,408001
17,17,17001,284006,17001,207001,4002
17,17,17001,13000,17001,750006,319001
17,17,17001,8003,620002,17001,252001
17,17,17001,746007,17001,401000,1004
17,17,17002,316003,400000,17002,645004
17,17,17002,17002,770005,23003,643001
17,17,17002,649000,142000,17002,809001
17,17,17002,318005,260004,227000,17002
17,17,17002,17002,12001,140002,176001
17,17,17002,209006,280002,17002,362000
17,17,17002,639002,314006,309004,17002
17,17,17002,304000,17002,634000,206006
17,17,17002,638006,139002,268000,17002
17,17,17002,759001,17002,624004,288004
17,17,17003,756007,629005,689001,17003
17,17,17003,17003,20003,251004,200004
17,17,17003,17003,365001,620003,290003
17,17,17003,757004,763000,17003,644002
17,17,17003,613006,17003,766001,753000
17,17,17003,300006,17003,94002,166003
17,17,17003,657002,782001,226001,17003
17,17,17003,17003,403002,203000,357002
17,17,17003,253001,306005,17003,660001
17,17,17003,17003,273007,273001,624005
18,18,18000,18000,293003,145007,21002
18,18,18000,160002,18000,306001,764006
18,18,18000,18000,772007,775009,206007
18,18,18000,649005,18000,293007,692000
18,18,18000,131004,280007,642007,18000
18,18,18000,759006,641001,18000,298005
18,18,18000,358003,253001,201004,18000
18,18,18000,258003,18000,286007,206000
18,18,18000,621006,625003,18000,159004
18,18,18000,285005,18000,204000,668006
18,18,18001,18001,279002,645006,111002
18,18,18001,18001,310006,22001,279005
18,18,18001,283004,18001,269004,250002
18,18,18001,18001,316002,289004,634002
18,18,18001,18001,298005,270004,776004
18,18,18001,751007,208001,18001,279004
18,18,18001,91008,668009,82005,18001
18,18,18001,18001,294003,656004,638004
18,18,18001,284006,18001,130001,212004
18,18,18001,18001,376001,139001,639001
18,18,18002,18002,748002,411001,207006
18,18,18002,18002,405002,273006,254002
18,18,18002,761000,644000,18002,110000
18,18,18002,18002,160007,319002,208003
18,18,18002,319005,223002,18002,82007
18,18,18002,18002,130000,381002,762007
18,18,18002,18002,777003,159004,385003
18,18,18002,258001,376002,389001,18002
18,18,18002,18002,633002,90007,158005
18,18,18002,771004,691000,668009,18002
18,18,18003,258004,18003,640007,659004
18,18,18003,765001,617005,169001,18003
18,18,18003,162003,688003,634006,18003
18,18,18003,756005,319002,18003,257002
18,18,18003,303000,18003,639002,750000
18,18,18003,632004,764002,693002,18003
18,18,18003,292001,18003,355002,633006
18,18,18003,18003,138002,693003,398002
18,18,18003,18003,12002,666007,80002
18,18,18003,226000,782004,18003,693000
19,19,19000,624004,747001,19000,308004
19,19,19000,689000,768000,301006,19000
19,19,19000,393000,19000,256002,309002
19,19,19000,19000,17003,256003,662007
19,19,19000,378001,613000,19000,412003
19,19,19000,19000,293004,222000,770004
19,19,19000,203002,285002,177001,19000
19,19,19000,19000,748000,5003,91000
19,19,19000,19000,753002,693001,746000
19,19,19000,405000,108004,19000,658003
19,19,19001,281006,775007,751003,19001
19,19,19001,19001,263005,137000,294006
19,19,19001,617006,19001,630000,110003
19,19,19001,754003,656006,510004,19001
19,19,19001,644007,91003,84006,19001
19,19,19001,142005,376002,140002,19001
19,19,19001,756006,19001,133007,266001
19,19,19001,395000,309000,19001,255005
19,19,19001,748000,84003,19001,661006
19,19,19001,767005,405002,640005,19001
19,19,19002,273001,19002,15003,373003
19,19,19002,19002,281007,764000,224000
